SMP	Time
46	279.42
46	302.01
46	324.5
46	333.98
46	354.27
46	356.36
46	382.19
46	414.86
46	451.51
47	0.41
47	2.9
47	14.57
47	21.76
47	36.44
47	64.96
47	74.75
47	86.59
47	158.88
47	178.28
47	180.82
47	194.04
47	198.24
47	255.3
47	290.43
47	361.85
47	362.61
